time,ax,ay,az,wx,wy,wz
2024-03-22 12:15:04.8880,-0.09,-0.10974872946739198,0.17,0.2,0.02,0.22
2024-03-22 12:15:04.8980,-0.06,-0.11,0.17,0.23,-0.12,0.14
2024-03-22 12:15:04.9080,0.41,-0.05,0.12,0.2,-0.15,0.03
2024-03-22 12:15:04.9180,0.41,-0.05,0.12,0.15,-0.1,-0.06
2024-03-22 12:15:04.9280,0.02,0.15,-0.56,0.12,-0.1,-0.05
2024-03-22 12:15:04.9380,-0.4502934195846319,-0.56,-0.35,0.16,-0.15,0.03
2024-03-22 12:15:04.9470,-0.46,-0.56,-0.35,0.2,-0.17,0.02
2024-03-22 12:15:04.9570,-0.52,-0.11,0.11,0.22,-0.06,0.04
2024-03-22 12:15:04.9670,0.02,-0.21,-0.35786012291908265,0.23,0.12,0.16
2024-03-22 12:15:04.9790,0.11,-0.28,-0.36,0.21,0.14,0.39
2024-03-22 12:15:04.9870,0.1,0.06,-0.65,0.11,0.08,0.34
2024-03-22 12:15:04.9970,-0.21,0.58,-0.5,0.08,0.24,0.4
2024-03-22 12:15:05.0070,-0.4,-0.21,-1.42,0.11,0.44,0.31
2024-03-22 12:15:05.0170,-0.4,-0.21,-1.42,0.12,0.51,0.15
2024-03-22 12:15:05.0270,1.1,-0.29,-0.92,0.07,0.56,0.1
2024-03-22 12:15:05.0370,0.87,-0.31,-0.32,0.06,0.52,0.08
2024-03-22 12:15:05.0470,0.22,-0.26,-0.12,0.15,0.43,-0.01
2024-03-22 12:15:05.0570,0.22,-0.26,-0.12,0.3,0.36,-0.09
2024-03-22 12:15:05.0670,0.24,-0.28,0.32,0.36,0.36,-0.11
2024-03-22 12:15:05.0770,0.04,-0.25805633783340454,0.14,0.36,0.32,-0.14
2024-03-22 12:15:05.0870,-0.26,-0.05,0.12,0.36,0.33,-0.12
2024-03-22 12:15:05.0970,-0.19,0.21,-0.14,0.34,0.37,-0.13
2024-03-22 12:15:05.1070,-0.14,-0.03,-0.21,0.21,0.27,-0.11
2024-03-22 12:15:05.1170,-0.14,-0.03,-0.21,0.08,0.13,-0.01
2024-03-22 12:15:05.1280,-0.77,0.55,-0.45,-0.03,0.01,0.09
2024-03-22 12:15:05.1370,-0.77,0.55,-0.45,-0.02,-0.03,0.08
2024-03-22 12:15:05.1470,-0.2,-0.17,-0.03,0.01,-0.19,0.0
2024-03-22 12:15:05.1570,-0.2,-0.17,0.5080774319171906,0.04,-0.28,-0.12
2024-03-22 12:15:05.1670,0.22,-0.23,0.5,0.04,-0.28,-0.12
2024-03-22 12:15:05.1760,0.09,0.23,0.06,-0.08,-0.32,-0.1
2024-03-22 12:15:05.1860,-0.13,0.68,-0.01,-0.04,-0.18,-0.02
2024-03-22 12:15:05.1960,-0.09,0.36,0.08,0.02,-0.02,-0.0
2024-03-22 12:15:05.2060,-0.09,0.36,0.27092898309230806,0.07,0.14,0.01
2024-03-22 12:15:05.2160,0.13,0.17,0.27,0.15,0.3,0.1
2024-03-22 12:15:05.2260,0.26,0.11,0.21,0.17,0.39,0.1
2024-03-22 12:15:05.2360,0.41,-0.06,0.15,0.13,0.36,0.11
2024-03-22 12:15:05.2460,0.41,-0.06,0.15,0.02,0.21,0.07
2024-03-22 12:15:05.2560,0.35,0.06,0.02,-0.07,-0.0,0.03
2024-03-22 12:15:05.2660,-0.25,-0.07,-0.1,-0.14,-0.17,-0.01
2024-03-22 12:15:05.2750,-0.25,-0.07,-0.1,-0.21,-0.25,-0.08
2024-03-22 12:15:05.2850,-0.16,0.02,-0.06,-0.23,-0.12,-0.02
