time,ax,ay,az,wx,wy,wz
2024-03-25 16:23:27.9060,-0.31,0.05,0.25,-0.04,-0.12,0.11
2024-03-25 16:23:27.9170,-0.31,0.11,0.15,-0.01,-0.09,0.13
2024-03-25 16:23:27.9260,-0.16,0.04,-0.01,0.02,-0.06,0.12
2024-03-25 16:23:27.9360,0.07,-0.12,-0.12,0.01,-0.03,0.07
2024-03-25 16:23:27.9460,0.18,-0.13,-0.17,-0.01,0.01,0.02
2024-03-25 16:23:27.9560,0.08,-0.02,-0.12,0.0,0.03,0.0
2024-03-25 16:23:27.9660,-0.1,0.09,-0.07,0.01,0.03,0.01
2024-03-25 16:23:27.9760,-0.2,0.13,-0.11,0.0,0.02,0.03
2024-03-25 16:23:27.9860,-0.19,0.14,-0.19,-0.02,0.0,0.03
2024-03-25 16:23:27.9960,-0.14,0.17,-0.19,-0.04,-0.02,0.03
2024-03-25 16:23:28.0060,-0.11,0.19,-0.21,-0.05,-0.02,0.04
2024-03-25 16:23:28.0160,-0.09,0.18,-0.24,-0.06,-0.02,0.04
2024-03-25 16:23:28.0260,-0.1,0.15,-0.28,-0.06,-0.0,0.04
2024-03-25 16:23:28.0350,-0.17,0.19,-0.33,-0.07,0.01,0.06
2024-03-25 16:23:28.0450,-0.23,0.29,-0.29,-0.08,-0.0,0.08
2024-03-25 16:23:28.0550,-0.23,0.27,-0.21,-0.08,-0.05,0.08
2024-03-25 16:23:28.0650,-0.15,0.22,-0.28,-0.11,-0.07,0.08
2024-03-25 16:23:28.0750,-0.06,0.31,-0.27,-0.1,-0.05,0.06
2024-03-25 16:23:28.0850,-0.05,0.39,-0.17,-0.05,-0.01,0.05
2024-03-25 16:23:28.0950,0.05,0.38,-0.2,-0.02,0.06,0.05
2024-03-25 16:23:28.1050,0.16,0.39,-0.27,0.01,0.12,0.04
2024-03-25 16:23:28.1150,0.25,0.42,-0.18,0.02,0.12,0.01
2024-03-25 16:23:28.1250,0.27,0.4,-0.08,0.03,0.08,-0.02
2024-03-25 16:23:28.1350,0.17,0.45,-0.11,0.02,0.04,-0.02
2024-03-25 16:23:28.1440,0.03,0.61,-0.19,-0.0,0.01,0.02
2024-03-25 16:23:28.1550,-0.11,0.81,-0.3,-0.02,0.01,0.07
2024-03-25 16:23:28.1650,-0.13,0.92,-0.33,-0.03,-0.03,0.1
2024-03-25 16:23:28.1750,-0.03,0.78,-0.24,-0.04,-0.08,0.11
2024-03-25 16:23:28.1840,0.08,0.56,-0.14,-0.06,-0.12,0.11
